lp.last_stop.arrival_time,lp.last_stop.departure_time,lp.last_stop.id,lp.last_stop.sequence,lp.next_stop.arrival_time,lp.next_stop.departure_time,lp.next_stop.id,lp.next_stop.sequence,lp.delay.actual,lp.delay.last_stop_arrival,lp.delay.last_stop_departure,lp.bearing,lp.is_canceled,lp.origin_timestamp,lp.shape_dist_traveled,lp.speed,lp.state_position,lp.tracking,pr.gtfs.route_id,pr.gtfs.route_short_name,pr.gtfs.route_type,pr.gtfs.trip_headsign,pr.gtfs.trip_id,pr.gtfs.trip_short_name,pr.vehicle_type.description_cs,pr.vehicle_type.description_en,pr.vehicle_type.id,pr.cis.line_id,pr.cis.trip_number,pr.agency_name,pr.origin_route_name,pr.sequence_id,pr.start_timestamp,pr.vehicle_registration_number,pr.wheelchair_accessible,pr.air_conditioned,coordinates
2023-01-27T15:24:00+01:00,2023-01-27T15:24:00+01:00,U221Z1P,8,2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U483Z6P,9,235,235,,197,,2023-01-27T15:27:55+01:00,3.223,,at_stop,True,L17,17,0,Sídliště Modřany,17_15382_230116,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",17,16,2023-01-27T15:14:00+01:00,9269,True,,['14.41359' '50.0847']
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U254Z1P,12,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U805Z1P,13,85,85,,74,,2023-01-27T15:27:25+01:00,6.092,,at_stop,True,L9,9,0,Spojovací,9_7018_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",9,20,2023-01-27T15:13:00+01:00,9358,True,,['14.3792' '50.07054']
2023-01-27T15:22:00+01:00,2023-01-27T15:22:00+01:00,U476Z1P,21,2023-01-27T15:24:00+01:00,2023-01-27T15:24:00+01:00,U190Z1P,22,307,307,,270,,2023-01-27T15:27:07+01:00,7.887,,at_stop,True,L16,16,0,Kotlářka,16_7364_221205,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",16,9,2023-01-27T14:57:00+01:00,9373,True,,['14.43684' '50.07498']
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U83Z1P,8,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U724Z1P,9,86,86,,281,,2023-01-27T15:27:26+01:00,2.777,,at_stop,True,L18,18,0,Nádraží Podbaba,18_5658_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",18,6,2023-01-27T15:17:00+01:00,9229,True,,['14.4371' '50.06471']
2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U948Z2P,35,2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U947Z2P,36,148,127,,68,,2023-01-27T15:27:07+01:00,19.105,,at_stop,True,L17,17,0,Sídliště Modřany,17_2816_230116,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",17,4,2023-01-27T14:35:00+01:00,9214,True,,['14.42271' '50.00541']
2023-01-27T15:25:00+01:00,2023-01-27T15:25:00+01:00,U483Z2P,20,2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U809Z4P,21,102,102,,270,,2023-01-27T15:26:42+01:00,7.8,,at_stop,True,L9,9,0,Sídliště Řepy,9_4709_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",9,4,2023-01-27T14:59:00+01:00,9433,True,,['14.41457' '50.08145']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U512Z1P,6,2023-01-27T15:29:00+01:00,2023-01-27T15:29:00+01:00,U34Z1P,7,18,1,,254,,2023-01-27T15:27:01+01:00,2.138,,at_stop,True,L19,19,0,Pankrác,19_3449_221204,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",19,3,2023-01-27T15:22:00+01:00,9088,True,,['14.47013' '50.09075']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U508Z1P,19,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U463Z1P,20,72,45,,261,,2023-01-27T15:27:45+01:00,7.974,,at_stop,True,L19,19,0,Pankrác,19_4039_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",19,1,2023-01-27T15:02:00+01:00,9090,True,,['14.4556' '50.06645']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U809Z2P,15,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U138Z2P,16,70,40,,0,,2023-01-27T15:27:40+01:00,7.688,,at_stop,True,L12,12,0,Výstaviště,12_7928_230116,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",17,20,2023-01-27T15:07:00+01:00,9239,True,,['14.40472' '50.08']
2023-01-27T15:26:20+01:00,2023-01-27T15:26:20+01:00,U2781Z2P,35,2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U889Z2P,36,82,60,,194,,2023-01-27T15:27:20+01:00,16.313,,at_stop,True,L22,22,0,Nádraží Hostivař,22_12854_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",22,13,2023-01-27T14:34:00+01:00,8271,True,,['14.50433' '50.06271']
2023-01-27T15:27:00+01:00,2023-01-27T15:27:00+01:00,U302Z1P,5,2023-01-27T15:32:00+01:00,2023-01-27T15:32:00+01:00,U1040Z1P,6,42,42,,346,,2023-01-27T15:27:42+01:00,1.271,,at_stop,True,L7,7,0,Depo Hostivař,7_8944_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",7,7,2023-01-27T15:24:00+01:00,9395,True,,['14.40479' '50.06303']
2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U515Z1P,11,2023-01-27T15:29:00+01:00,2023-01-27T15:29:00+01:00,U118Z1P,12,-9,-9,,265,,2023-01-27T15:27:51+01:00,4.044,,at_stop,True,L10,10,0,Sídliště Řepy,10_6506_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",10,11,2023-01-27T15:15:00+01:00,8561,False,,['14.4673' '50.07816']
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U12Z1P,5,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U529Z5P,6,68,68,,241,,2023-01-27T15:27:08+01:00,1.612,,at_stop,True,L6,6,0,Kubánské náměstí,6_10865_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",6,11,2023-01-27T15:22:00+01:00,9444,True,,['14.48358' '50.10499']
2023-01-27T15:26:00+01:00,2023-01-27T15:26:00+01:00,U163Z1P,5,2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U692Z1P,6,93,74,,90,,2023-01-27T15:27:14+01:00,2.447,,at_stop,True,L8,8,0,Starý Hloubětín,8_5260_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",8,8,2023-01-27T15:20:00+01:00,9321,True,,['14.40401' '50.09716']
2023-01-27T15:28:00+01:00,2023-01-27T15:28:00+01:00,U512Z1P,2,2023-01-27T15:30:00+01:00,2023-01-27T15:30:00+01:00,U34Z1P,3,-1,-18,,254,,2023-01-27T15:27:42+01:00,0.459,,at_stop,True,L5,5,0,Holyně,5_6288_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",5,10,2023-01-27T15:27:00+01:00,9060,True,,['14.47023' '50.09074']
