lp.last_stop.arrival_time,lp.last_stop.departure_time,lp.last_stop.id,lp.last_stop.sequence,lp.next_stop.arrival_time,lp.next_stop.departure_time,lp.next_stop.id,lp.next_stop.sequence,lp.delay.actual,lp.delay.last_stop_arrival,lp.delay.last_stop_departure,lp.bearing,lp.is_canceled,lp.origin_timestamp,lp.shape_dist_traveled,lp.speed,lp.state_position,lp.tracking,pr.gtfs.route_id,pr.gtfs.route_short_name,pr.gtfs.route_type,pr.gtfs.trip_headsign,pr.gtfs.trip_id,pr.gtfs.trip_short_name,pr.vehicle_type.description_cs,pr.vehicle_type.description_en,pr.vehicle_type.id,pr.cis.line_id,pr.cis.trip_number,pr.agency_name,pr.origin_route_name,pr.sequence_id,pr.start_timestamp,pr.vehicle_registration_number,pr.wheelchair_accessible,pr.air_conditioned,coordinates
2023-01-28T12:23:00+01:00,2023-01-28T12:31:00+01:00,U2116Z301,8,2023-01-28T12:33:00+01:00,2023-01-28T12:33:00+01:00,U4139Z301,9,0,0,0,104,False,2023-01-28T12:25:50+01:00,8.969,,at_stop,True,L1365,S65,2,Praha hl. n.,1365_25913_221211,Os 25913,,,,none,25913,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T12:10:00+01:00,,False,,['14.2578688' '50.08417']
2023-01-28T12:25:30+01:00,2023-01-28T12:25:30+01:00,U2822Z301,6,2023-01-28T12:27:00+01:00,2023-01-28T12:27:00+01:00,U2821Z301,7,57,60,60,140,False,2023-01-28T12:26:27+01:00,10.641,,at_stop,True,L1304,S4,2,Praha Masaryk. n.,1304_9629_221211,Os 9629,,,,none,9629,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T12:12:00+01:00,,True,,['14.3517771' '50.1701775']
2023-01-28T12:25:00+01:00,2023-01-28T12:27:00+01:00,U2816Z301,13,2023-01-28T12:28:30+01:00,2023-01-28T12:28:30+01:00,U2873Z301,14,-26,-60,-60,303,False,2023-01-28T12:26:41+01:00,28.548,,on_track,True,L1218,R18,2,Praha-Vršovice,1218_890_221212,R 890,,,,none,890,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T12:11:00+01:00,,True,,['15.213376' '50.0257072']
2023-01-28T12:22:30+01:00,2023-01-28T12:22:30+01:00,U454Z301,9,2023-01-28T12:24:00+01:00,2023-01-28T12:24:00+01:00,T53047,10,182,120,180,103,False,2023-01-28T12:26:40+01:00,19.961,,on_track,True,L1210,R10,2,Trutnov hl. n.,1210_927_221211,R 927,,,,none,927,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T12:09:00+01:00,,False,,['14.6943216' '50.08421']
2023-01-28T12:25:00+01:00,2023-01-28T12:25:00+01:00,U4575Z301,22,2023-01-28T12:27:00+01:00,2023-01-28T12:27:00+01:00,U4576Z301,23,-39,0,0,316,False,2023-01-28T12:24:27+01:00,45.786,,on_track,True,L1222,R22,2,Šluknov,1222_1184_221211,R 1184,,,,none,1184,"{'real': None, 'scheduled': 'ARRIVA VLAKY'}",,,2023-01-28T11:45:00+01:00,,False,,['14.9389229' '50.35581']
2023-01-28T12:24:00+01:00,2023-01-28T12:24:00+01:00,U2847Z301,3,2023-01-28T12:25:00+01:00,2023-01-28T12:25:00+01:00,T58296,4,156,120,120,178,False,2023-01-28T12:26:36+01:00,5.358,,at_stop,True,L1307,S7,2,Praha hl. n.,1307_8839_221211,Os 8839,,,,none,8839,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T12:19:00+01:00,,True,,['14.1310711' '49.93699']
2023-01-28T12:18:00+01:00,2023-01-28T12:23:00+01:00,U1593Z301,29,2023-01-28T12:26:30+01:00,2023-01-28T12:26:30+01:00,U2863Z301,30,39,-120,60,94,False,2023-01-28T12:26:42+01:00,51.868,,on_track,True,L1308,S8,2,Čerčany,1308_9061_221211,Os 9061,,,,none,9061,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T10:55:00+01:00,,True,,['14.6225138' '49.8348846']
2023-01-28T12:24:00+01:00,2023-01-28T12:24:30+01:00,U2205Z301,3,2023-01-28T12:27:30+01:00,2023-01-28T12:28:00+01:00,U1832Z301,4,-10,0,60,273,False,2023-01-28T12:26:33+01:00,9.979,,on_track,True,L1332,S32,2,Ústí n.L. západ,1332_6410_221211,Os 6410,,,,none,6410,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T12:17:00+01:00,,True,,['14.7052507' '50.2056656']
2023-01-28T12:13:00+01:00,2023-01-28T12:25:00+01:00,U2033Z301,26,2023-01-28T12:27:00+01:00,2023-01-28T12:27:00+01:00,U2931Z301,27,-4,-60,0,255,False,2023-01-28T12:26:44+01:00,54.555,,on_track,True,L1380,S80,2,Čerčany,1380_9214_221211,Os 9214,,,,none,9214,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T10:35:00+01:00,,False,,['14.8949623' '49.8694534']
2023-01-28T12:25:30+01:00,2023-01-28T12:25:30+01:00,U2424Z301,15,2023-01-28T12:28:30+01:00,2023-01-28T12:28:30+01:00,U2269Z301,16,46,60,120,86,False,2023-01-28T12:26:38+01:00,31.621,,on_track,True,L1209,R9,2,Brno hl. n.,1209_981_221211,R 981,,,,none,981,"{'real': None, 'scheduled': 'ČESKÉ DRÁHY'}",,,2023-01-28T11:55:00+01:00,,False,,['14.8120623' '50.0789871']
